 ,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year
0,MRF,EQ,31-May-16,33447.9,33575.85,33999.9,33301.1,33400.25,33774.45,33627.69,5849,196688371.8,3152,1966,33.61,2016
1,MRF,EQ,01-Jun-16,33774.45,33700,33879,33200,33200,33341.95,33540.67,2861,95959861.25,1677,1005,35.13,2016
2,MRF,EQ,02-Jun-16,33341.95,33305,33593,33101,33400,33425.6,33358.92,3930,131100573.1,2125,1498,38.12,2016
3,MRF,EQ,03-Jun-16,33425.6,33679.9,33679.9,33290,33295,33427.65,33483.14,3984,133396812.8,2283,1000,25.1,2016
4,MRF,EQ,06-Jun-16,33427.65,33500,33551.5,33150,33229.05,33262.4,33368.43,1426,47583375.55,871,313,21.95,2016
5,MRF,EQ,07-Jun-16,33262.4,33400,33456.7,32790,33000,33013.5,33187.22,3400,112836538,1831,1360,40,2016
6,MRF,EQ,08-Jun-16,33013.5,33319.9,33319.9,32523,32600,32612.25,32846.67,5160,169488815.9,2674,2572,49.84,2016
7,MRF,EQ,09-Jun-16,32612.25,32700,32799.95,32500,32525,32546.45,32613.7,2255,73543895.55,1225,787,34.9,2016
8,MRF,EQ,10-Jun-16,32546.45,32550,32640,32085,32275,32197.05,32347.63,4481,144949748.6,1848,1838,41.02,2016
9,MRF,EQ,13-Jun-16,32197.05,32000,32192.95,31901.65,31980,31982.65,32026.82,3867,123847705.4,1646,2348,60.72,2016
10,MRF,EQ,14-Jun-16,31982.65,32000,32300,31890,31920,31923.2,31992.35,3641,116484129.5,1674,1720,47.24,2016
11,MRF,EQ,15-Jun-16,31923.2,31985,32200,31550.55,31653.05,31663.65,31819.57,5612,178571413.5,2667,3441,61.32,2016
12,MRF,EQ,16-Jun-16,31663.65,31750,31825,31517,31560,31595.2,31648.14,5178,163874076.5,1879,3255,62.86,2016
13,MRF,EQ,17-Jun-16,31595.2,31750,31848,31251.05,31330.05,31332.25,31483.05,5243,165065651.7,2750,2714,51.76,2016
14,MRF,EQ,20-Jun-16,31332.25,31330,32350,31021,32215,32246.95,31807.1,9127,290303390.6,4700,3622,39.68,2016
15,MRF,EQ,21-Jun-16,32246.95,32378,32424,31702,31789.95,31844.9,32033.34,3800,121726691.8,2099,1314,34.58,2016
16,MRF,EQ,22-Jun-16,31844.9,31874.75,32150.95,31500,31690,31718.75,31787.96,4146,131792873.6,1993,1644,39.65,2016
17,MRF,EQ,23-Jun-16,31718.75,31740,31844.9,31500,31700.5,31676.9,31619.08,4284,135456149.5,1841,2223,51.89,2016
18,MRF,EQ,24-Jun-16,31676.9,31499,31500,30101,31250,31317.25,31088.29,5841,181586680.3,3020,2220,38.01,2016
19,MRF,EQ,27-Jun-16,31317.25,31340,31977.95,31144.2,31945.65,31870.95,31710.64,2856,90565584,1506,741,25.95,2016
20,MRF,EQ,28-Jun-16,31870.95,32200,33150,31900,32820.05,32941.9,32604.56,8766,285811535.9,3823,3343,38.14,2016
21,MRF,EQ,29-Jun-16,32941.9,33298,33673.55,32900,33400,33519.2,33277.08,15103,502583682.7,4902,9144,60.54,2016
22,MRF,EQ,30-Jun-16,33519.2,33740,33740,32850.95,32905.1,33077.65,33199.01,15793,524312006.3,6599,8898,56.34,2016
23,MRF,EQ,01-Jul-16,33077.65,33077.65,33900,33050,33600,33656.65,33604.3,7303,245412234.5,3322,2981,40.82,2016
24,MRF,EQ,04-Jul-16,33656.65,33699,35229,33699,35225,35146.6,34746.92,15055,523114846.3,6962,5669,37.66,2016
25,MRF,EQ,05-Jul-16,35146.6,35000.1,35199.9,34501,34800,34746.2,34814.06,10171,354093787.3,4395,5549,54.56,2016
26,MRF,EQ,07-Jul-16,34746.2,34944.9,35400,34826.4,35400,35231.25,35200.03,7606,267731398.2,3185,3958,52.04,2016
27,MRF,EQ,08-Jul-16,35231.25,35231,35470,35000,35201,35391.1,35298.12,6312,222801747.5,2795,3464,54.88,2016
28,MRF,EQ,11-Jul-16,35391.1,35502.7,35840.05,35190.9,35280,35292.75,35475.3,4305,152721161.4,1881,1659,38.54,2016
